,0
6/30/21,523
7/1/21,524
7/2/21,528
7/3/21,526
7/4/21,527
7/5/21,515
7/6/21,551
7/7/21,539
7/8/21,541
7/9/21,552
7/10/21,582
7/11/21,564
7/12/21,571
7/13/21,578
7/14/21,582
7/15/21,606
7/16/21,607
7/17/21,613
7/18/21,631
7/19/21,670
